Jersey Number,Player + Year,Player,GP,GS,TOT Minutes,AVG Minutes,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT Rebounds,AVG Rebounds,PF,AST,TO,STL,BLK
2,"Flagg, Cooper 2024-25","Flagg, Cooper",3,3,87,29,20,44,0.455,3,13,0.231,14,18,0.778,57,19,3,26,29,9.7,6,10,7,5,5
7,"Knueppel, Kon 2024-25","Knueppel, Kon",3,3,96,32,18,43,0.419,8,22,0.364,7,8,0.875,51,17,4,7,11,3.7,8,7,3,3,0
5,"Proctor, Tyrese 2024-25","Proctor, Tyrese",3,3,85,28.3,12,27,0.444,9,19,0.474,3,4,0.75,36,12,0,13,13,4.3,7,5,2,1,1
9,"Maluach, Khaman 2024-25","Maluach, Khaman",3,3,61,20.3,12,15,0.8,0,1,0,3,5,0.6,27,9,11,16,27,9,6,1,1,0,6
14,"James, Sion 2024-25","James, Sion",3,0,52,17.3,9,18,0.5,2,6,0.333,7,7,1,27,9,1,5,6,2,5,6,2,4,0
1,"Foster, Caleb 2024-25","Foster, Caleb",3,3,77,25.7,12,29,0.414,2,11,0.182,0,3,0,26,8.7,3,4,7,2.3,5,10,5,2,0
18,"Gillis, Mason 2024-25","Gillis, Mason",3,0,52,17.3,7,13,0.538,4,9,0.444,2,2,1,20,6.7,1,7,8,2.7,3,1,2,4,0
8,"Harris, Darren 2024-25","Harris, Darren",2,0,10,5,3,3,1,2,2,1,3,5,0.6,11,5.5,0,0,0,0,0,0,0,1,0
3,"Evans, Isaiah 2024-25","Evans, Isaiah",2,0,15,7.5,2,5,0.4,1,4,0.25,1,1,1,6,3,0,4,4,2,3,1,1,0,0
55,"Hubbard, Spencer 2024-25","Hubbard, Spencer",1,0,3,3,1,1,1,1,1,1,0,0,0,3,3,0,0,0,0,0,1,0,0,0
6,"Brown, Maliq 2024-25","Brown, Maliq",3,0,58,19.3,2,5,0.4,0,1,0,0,2,0,4,1.3,11,10,21,7,6,5,4,4,3
20,"Begovich, Neal 2024-25","Begovich, Neal",1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
13,"Sheffield, Cameron 2024-25","Sheffield, Cameron",1,0,2,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,"Filipowski, Kyle 2023-24","Filipowski, Kyle",36,36,1095,30.4,220,435,0.506,39,112,0.348,112,167,0.671,591,16.4,79,218,297,8.3,109,100,76,41,54
0,"McCain, Jared 2023-24","McCain, Jared",36,36,1136,31.6,175,379,0.462,87,210,0.414,77,87,0.885,514,14.3,29,152,181,5,58,68,47,38,2
3,"Roach, Jeremy 2023-24","Roach, Jeremy",35,33,1143,32.7,166,355,0.468,54,126,0.429,103,122,0.844,489,14,21,68,89,2.5,75,114,49,39,5
25,"Mitchell, Mark 2023-24","Mitchell, Mark",33,32,942,28.5,136,252,0.54,11,40,0.275,99,159,0.623,382,11.6,73,123,196,5.9,54,36,38,26,24
5,"Proctor, Tyrese 2023-24","Proctor, Tyrese",32,25,973,30.4,120,284,0.423,58,165,0.352,37,49,0.755,335,10.5,4,92,96,3,52,118,40,22,3
1,"Foster, Caleb 2023-24","Foster, Caleb",27,15,689,25.5,73,167,0.437,28,69,0.406,33,48,0.688,207,7.7,11,55,66,2.4,53,58,29,16,2
15,"Young, Ryan 2023-24","Young, Ryan",36,2,424,11.8,39,67,0.582,0,1,0,22,35,0.629,100,2.8,50,74,124,3.4,63,30,29,10,17
13,"Stewart, Sean 2023-24","Stewart, Sean",33,0,277,8.4,36,63,0.571,0,0,0,15,28,0.536,87,2.6,44,60,104,3.2,51,7,13,17,16
2,"Blakes, Jaylen 2023-24","Blakes, Jaylen",31,1,281,9.1,18,45,0.4,5,19,0.263,16,17,0.941,57,1.8,7,19,26,0.8,32,13,8,21,5
12,"Power, TJ 2023-24","Power, TJ",26,0,181,7,17,51,0.333,15,42,0.357,6,7,0.857,55,2.1,5,14,19,0.7,13,5,4,5,3
55,"Hubbard, Spencer 2023-24","Hubbard, Spencer",10,0,25,2.5,2,6,0.333,1,4,0.25,1,2,0.5,6,0.6,0,3,3,0.3,8,2,1,0,0
21,"Reeves, Christian 2023-24","Reeves, Christian",3,0,16,5.3,2,3,0.667,0,0,0,1,2,0.5,5,1.7,1,4,5,1.7,3,0,2,0,1
20,"Begovich, Neal 2023-24","Begovich, Neal",8,0,18,2.3,0,4,0,0,3,0,2,2,1,2,0.3,1,3,4,0.5,0,0,0,0,0
30,"Filipowski, Kyle 2022-23","Filipowski, Kyle",36,36,1047,29.1,189,429,0.441,35,124,0.282,130,170,0.765,543,15.1,90,232,322,8.9,93,56,89,47,26
3,"Roach, Jeremy 2022-23","Roach, Jeremy",32,30,1061,33.2,159,373,0.426,46,134,0.343,71,91,0.78,435,13.6,21,58,79,2.5,58,99,71,28,0
25,"Mitchell, Mark 2022-23","Mitchell, Mark",35,35,951,27.2,114,243,0.469,19,54,0.352,71,93,0.763,318,9.1,48,111,159,4.5,35,42,46,22,18
5,"Proctor, Tyrese 2022-23","Proctor, Tyrese",36,34,1057,29.4,115,302,0.381,47,147,0.32,61,70,0.871,338,9.4,17,95,112,3.1,59,119,58,22,4
0,"Whitehead, Dariq 2022-23","Whitehead, Dariq",28,7,576,20.6,83,197,0.421,42,98,0.429,23,29,0.793,231,8.3,12,55,67,2.4,42,27,39,21,6
15,"Young, Ryan 2022-23","Young, Ryan",36,9,638,17.7,89,130,0.685,0,0,0,52,64,0.813,230,6.4,83,116,199,5.5,77,48,42,9,17
1,"Lively II, Dereck 2022-23","Lively II, Dereck",34,27,698,20.5,77,117,0.658,2,13,0.154,21,35,0.6,177,5.2,72,112,184,5.4,92,37,23,17,82
13,"Grandison, Jacob 2022-23","Grandison, Jacob",36,0,567,15.8,55,136,0.404,32,95,0.337,16,18,0.889,158,4.4,15,58,73,2,36,48,19,14,2
2,"Blakes, Jaylen 2022-23","Blakes, Jaylen",32,2,422,13.2,33,93,0.355,15,44,0.341,24,37,0.649,105,3.3,9,37,46,1.4,42,39,19,18,5
14,"Schutt, Jaden 2022-23","Schutt, Jaden",14,0,98,7,10,28,0.357,7,20,0.35,2,4,0.5,29,2.1,3,12,15,1.1,4,6,0,1,2
21,"Reeves, Christian 2022-23","Reeves, Christian",13,0,41,3.2,8,11,0.727,0,0,0,4,6,0.667,20,1.5,9,4,13,1,4,1,3,1,0
52,"Borden, Stanley 2022-23","Borden, Stanley",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
12,"Catchings, Kale 2022-23","Catchings, Kale",10,0,32,3.2,4,9,0.444,0,1,0,0,3,0,8,0.8,4,4,8,0.8,3,2,1,1,1
55,"Hubbard, Spencer 2022-23","Hubbard, Spencer",3,0,9,3,0,2,0,0,1,0,0,0,0,0,0,0,1,1,0.3,2,0,2,1,0
41,"Johns, Max 2022-23","Johns, Max",9,0,27,3,0,2,0,0,0,0,0,0,0,0,0,1,3,4,0.4,2,2,2,2,0
5,"Banchero, Paolo 2021-2022","Banchero, Paolo",39,39,1286,33,245,513,0.478,44,130,0.338,137,188,0.729,671,17.2,68,236,304,7.8,75,124,92,41,36
0,"Moore Jr., Wendell 2021-2022","Moore Jr., Wendell",39,39,1325,34,188,376,0.5,52,126,0.413,95,118,0.805,523,13.4,48,159,207,5.3,62,172,76,55,8
15,"Williams, Mark 2021-2022","Williams, Mark",39,39,919,23.6,191,265,0.721,0,1,0,56,77,0.727,438,11.2,101,188,289,7.4,80,35,36,19,110
1,"Keels, Trevor 2021-2022","Keels, Trevor",36,26,1086,30.2,147,351,0.419,54,173,0.312,65,97,0.67,413,11.5,30,94,124,3.4,46,98,45,44,2
21,"Griffin, AJ 2021-2022","Griffin, AJ",39,25,937,24,146,296,0.493,71,159,0.447,42,53,0.792,405,10.4,30,123,153,3.9,43,38,25,20,22
3,"Roach, Jeremy 2021-2022","Roach, Jeremy",39,27,1142,29.3,118,288,0.41,39,121,0.322,61,80,0.763,336,8.6,13,81,94,2.4,86,123,63,33,4
13,"Baker, Joey 2021-2022","Baker, Joey",34,0,409,12,51,118,0.432,30,74,0.405,21,27,0.778,153,4.5,9,31,40,1.2,41,14,18,13,1
12,"John, Theo 2021-2022","John, Theo",38,0,427,11.2,46,76,0.605,0,2,0,15,24,0.625,107,2.8,35,61,96,2.5,74,16,17,17,33
2,"Blakes, Jaylen 2021-2022","Blakes, Jaylen",21,0,94,4.5,8,28,0.286,5,17,0.294,0,1,0,21,1,4,11,15,0.7,10,11,8,4,0
